imdb_id,omdb_title,omdb_year,awards_text,omdb_boxoffice,omdb_imdb_rating,omdb_metascore,omdb_imdb_votes,response_ok,error_msg,fetched_at,omdb_boxoffice_usd,oscar_winner_flag,oscar_nominee_flag
tt0099088,Back to the Future Part III,1990,5 wins & 11 nominations total,"$88,277,583",7.5,55,"503,526",True,,2025-10-26T10:45:13.916205,88277583.0,0,0
tt0099165,The Bonfire of the Vanities,1990,1 win & 5 nominations total,"$15,691,192",5.6,27,"27,741",True,,2025-10-26T10:45:14.381526,15691192.0,0,0
tt0099348,Dances with Wolves,1990,Won 7 Oscars. 55 wins & 40 nominations total,"$184,208,848",8.0,72,"304,578",True,,2025-10-26T10:45:14.797005,184208848.0,1,0
tt0099422,Dick Tracy,1990,Won 3 Oscars. 9 wins & 37 nominations total,"$103,738,726",6.2,68,"68,992",True,,2025-10-26T10:45:15.214326,103738726.0,1,0
tt0099423,Die Hard 2,1990,1 win & 1 nomination total,"$117,540,947",7.2,67,"400,230",True,,2025-10-26T10:45:15.628903,117540947.0,0,0
tt0099587,Flight of the Intruder,1991,N/A,"$14,587,732",5.8,N/A,"8,176",True,,2025-10-26T10:45:16.124035,14587732.0,0,0
tt0099611,Frankenhooker,1990,N/A,"$205,068",6.2,N/A,"15,381",True,,2025-10-26T10:45:16.583036,205068.0,0,0
tt0099653,Ghost,1990,Won 2 Oscars. 18 wins & 24 nominations total,"$217,631,306",7.1,52,"249,282",True,,2025-10-26T10:45:17.043877,217631306.0,1,0
tt0099674,The Godfather Part III,1990,Nominated for 7 Oscars. 6 wins & 23 nominations total,"$66,761,392",7.6,60,"446,035",True,,2025-10-26T10:45:17.458135,66761392.0,0,1
tt0099747,Havana,1990,Nominated for 1 Oscar. 3 nominations total,"$9,243,140",6.1,N/A,"8,745",True,,2025-10-26T10:45:17.929109,9243140.0,0,1
tt0099785,Home Alone,1990,Nominated for 2 Oscars. 12 wins & 7 nominations total,"$285,761,243",7.7,63,"708,642",True,,2025-10-26T10:45:18.336928,285761243.0,0,1
tt0099810,The Hunt for Red October,1990,Won 1 Oscar. 3 wins & 9 nominations total,"$122,012,643",7.5,58,"225,834",True,,2025-10-26T10:45:18.820602,122012643.0,1,0
tt0099938,Kindergarten Cop,1990,4 wins & 1 nomination total,"$91,457,688",6.3,61,"169,069",True,,2025-10-26T10:45:19.278512,91457688.0,0,0
tt0100029,Lionheart,1990,N/A,"$24,078,196",6.2,41,"41,956",True,,2025-10-26T10:45:19.741099,24078196.0,0,0
tt0100142,Metropolitan,1989,Nominated for 1 Oscar. 6 wins & 10 nominations total,"$2,960,492",7.3,77,"12,934",True,,2025-10-26T10:45:20.211388,2960492.0,0,1
tt0100332,Paris Is Burning,1990,17 wins & 1 nomination total,"$3,905,297",8.2,82,"19,088",True,,2025-10-26T10:45:20.679654,3905297.0,0,0
tt0100405,Pretty Woman,1990,Nominated for 1 Oscar. 8 wins & 11 nominations total,"$178,406,268",7.1,51,"393,601",True,,2025-10-26T10:45:21.098965,178406268.0,0,1
tt0100758,Teenage Mutant Ninja Turtles,1990,3 wins & 3 nominations total,"$135,384,756",6.8,51,"109,497",True,,2025-10-26T10:45:21.570991,135384756.0,0,0
tt0100802,Total Recall,1990,Nominated for 2 Oscars. 7 wins & 16 nominations total,"$119,412,921",7.5,60,"371,849",True,,2025-10-26T10:45:22.027815,119412921.0,0,1
tt0101272,The Addams Family,1991,Nominated for 1 Oscar. 5 wins & 23 nominations total,"$113,502,426",7.0,57,"192,418",True,,2025-10-26T10:45:22.511862,113502426.0,0,1
tt0101356,Another You,1991,N/A,"$2,865,916",5.3,N/A,"4,451",True,,2025-10-26T10:45:22.981489,2865916.0,0,0
tt0101414,Beauty and the Beast,1991,Won 2 Oscars. 33 wins & 32 nominations total,"$218,967,620",8.0,95,"498,015",True,,2025-10-26T10:45:23.397669,218967620.0,1,0
tt0101453,Billy Bathgate,1991,3 nominations total,"$15,565,363",5.9,N/A,"13,101",True,,2025-10-26T10:45:23.867114,15565363.0,0,0
tt0101507,Boyz n the Hood,1991,Nominated for 2 Oscars. 12 wins & 28 nominations total,"$57,504,069",7.8,76,"164,419",True,,2025-10-26T10:45:24.328003,57504069.0,0,1
tt0101587,City Slickers,1991,Won 1 Oscar. 8 wins & 7 nominations total,"$124,033,791",6.8,70,"66,109",True,,2025-10-26T10:45:24.815634,124033791.0,1,0
tt0101588,City of Hope,1991,5 wins & 4 nominations total,"$1,345,015",7.2,N/A,"2,810",True,,2025-10-26T10:45:25.287733,1345015.0,0,0
tt0101615,Cool as Ice,1991,1 win & 7 nominations total,"$1,193,062",3.0,24,"10,719",True,,2025-10-26T10:45:25.745554,1193062.0,0,0
tt0101701,Delirious,1991,N/A,"$5,546,827",5.8,N/A,"9,744",True,,2025-10-26T10:45:26.201746,5546827.0,0,0
tt0101786,Dutch,1991,1 win & 1 nomination total,"$4,603,929",6.5,N/A,"14,969",True,,2025-10-26T10:45:26.665426,4603929.0,0,0
tt0101831,Eve of Destruction,1991,N/A,"$5,451,119",5.0,N/A,"2,633",True,,2025-10-26T10:45:27.123772,5451119.0,0,0
tt0101902,For the Boys,1991,Nominated for 1 Oscar. 1 win & 3 nominations total,"$17,860,280",6.4,N/A,"6,162",True,,2025-10-26T10:45:27.579520,17860280.0,0,1
tt0101917,Freddy's Dead: The Final Nightmare,1991,1 win & 5 nominations total,"$34,872,033",4.7,39,"53,981",True,,2025-10-26T10:45:28.040114,34872033.0,0,0
tt0102005,Harley Davidson and the Marlboro Man,1991,1 nomination,"$7,434,726",6.1,36,"23,394",True,,2025-10-26T10:45:28.498032,7434726.0,0,0
tt0102032,High Strung,1992,N/A,$904,6.6,N/A,"2,230",True,,2025-10-26T10:45:28.984741,904.0,0,0
tt0102057,Hook,1991,Nominated for 5 Oscars. 6 wins & 24 nominations total,"$119,654,823",6.8,52,"285,738",True,,2025-10-26T10:45:29.401391,119654823.0,0,1
tt0102059,Hot Shots!,1991,1 win total,"$69,467,617",6.7,61,"122,922",True,,2025-10-26T10:45:29.815796,69467617.0,0,0
tt0102065,House Party 2,1991,N/A,"$19,438,638",5.3,N/A,"7,301",True,,2025-10-26T10:45:30.277239,19438638.0,0,0
tt0102070,Hudson Hawk,1991,3 wins & 5 nominations total,"$17,218,080",5.7,17,"63,297",True,,2025-10-26T10:45:30.691114,17218080.0,0,0
tt0102175,Jungle Fever,1991,6 wins & 11 nominations total,"$32,482,682",6.6,78,"20,231",True,,2025-10-26T10:45:31.244256,32482682.0,0,0
tt0102303,Life Stinks,1991,N/A,"$4,102,526",5.9,54,"11,903",True,,2025-10-26T10:45:31.711837,4102526.0,0,0
