imdb_id,omdb_title,omdb_year,awards_text,omdb_boxoffice,omdb_imdb_rating,omdb_metascore,omdb_imdb_votes,response_ok,error_msg,fetched_at
tt2023587,Mama,2013,11 wins & 19 nominations total,"$71,628,180",6.2,57,"197,699",True,,2025-10-29T13:47:56.529850
tt2024432,Identity Thief,2013,1 win & 9 nominations total,"$134,506,920",5.7,35,"144,775",True,,2025-10-29T13:47:56.957784
tt2024469,Non-Stop,2014,1 nomination total,"$92,168,600",6.9,56,"283,572",True,,2025-10-29T13:47:57.381835
tt2024544,12 Years a Slave,2013,Won 3 Oscars. 244 wins & 338 nominations total,"$56,671,993",8.1,96,"772,130",True,,2025-10-29T13:47:57.810929
tt2034139,The Last Exorcism Part II,2013,1 win & 2 nominations total,"$15,179,302",4.0,35,"17,323",True,,2025-10-29T13:47:58.235612
tt2034800,The Great Wall,2016,3 wins & 2 nominations total,"$45,540,830",5.9,42,"156,740",True,,2025-10-29T13:47:58.668463
tt2039338,Flatliners,2017,1 win & 4 nominations total,"$16,883,115",5.2,27,"52,106",True,,2025-10-29T13:47:59.100894
tt2039393,The Gambler,2014,1 win & 3 nominations total,"$33,680,992",6.0,55,"75,412",True,,2025-10-29T13:47:59.529446
tt2052015,Water & Power,2013,N/A,"$82,312",4.2,N/A,149,True,,2025-10-29T13:47:59.960921
tt2058673,Point Break,2015,2 wins & 4 nominations total,"$28,782,481",5.3,34,"67,928",True,,2025-10-29T13:48:00.400699
tt2066051,Rocketman,2019,Won 1 Oscar. 25 wins & 87 nominations total,"$96,368,160",7.3,69,"204,815",True,,2025-10-29T13:48:00.823898
tt2080374,Steve Jobs,2015,Nominated for 2 Oscars. 28 wins & 117 nominations total,"$17,766,658",7.2,82,"184,236",True,,2025-10-29T13:48:01.267138
tt2083355,The Best Man Holiday,2013,3 wins & 15 nominations total,"$70,525,195",6.6,59,"17,550",True,,2025-10-29T13:48:01.687463
tt2091256,Captain Underpants: The First Epic Movie,2017,3 wins & 15 nominations total,"$73,921,000",6.2,69,"35,075",True,,2025-10-29T13:48:02.112644
tt2093269,The Prophet's Son,2012,N/A,"$16,983",5.2,N/A,47,True,,2025-10-29T13:48:02.542040
tt2094766,Assassin's Creed,2016,2 wins & 2 nominations total,"$54,647,948",5.6,36,"216,208",True,,2025-10-29T13:48:02.968926
tt2096672,Dumb and Dumber To,2014,1 win & 7 nominations total,"$86,208,010",5.6,36,"151,451",True,,2025-10-29T13:48:03.391584
tt2096673,Inside Out,2015,Won 1 Oscar. 99 wins & 118 nominations total,"$356,461,711",8.1,94,"886,854",True,,2025-10-29T13:48:03.816442
tt2097307,Hit and Run,2012,1 win total,"$13,749,300",6.1,50,"38,474",True,,2025-10-29T13:48:04.243354
tt2101441,Spring Breakers,2012,14 wins & 35 nominations total,"$14,124,284",5.3,63,"152,753",True,,2025-10-29T13:48:04.670003
tt2103254,Tammy,2014,1 win & 7 nominations total,"$84,525,432",4.9,39,"56,325",True,,2025-10-29T13:48:05.106177
tt2103281,Dawn of the Planet of the Apes,2014,Nominated for 1 Oscar. 17 wins & 48 nominations total,"$208,545,589",7.6,79,"503,917",True,,2025-10-29T13:48:05.536910
tt2106361,Into the Storm,2014,3 wins & 1 nomination total,"$47,615,959",5.8,44,"73,498",True,,2025-10-29T13:48:05.973404
tt2109184,Paranormal Activity 4,2012,2 wins total,"$53,885,000",4.7,40,"72,449",True,,2025-10-29T13:48:06.399578
tt2109248,Transformers: Age of Extinction,2014,5 wins & 23 nominations total,"$245,439,076",5.6,32,"344,373",True,,2025-10-29T13:48:06.823647
tt2119532,Hacksaw Ridge,2016,Won 2 Oscars. 57 wins & 115 nominations total,"$67,209,615",8.1,71,"655,217",True,,2025-10-29T13:48:07.247969
tt2119543,The House with a Clock in Its Walls,2018,1 win & 1 nomination total,"$68,549,695",6.1,57,"58,552",True,,2025-10-29T13:48:07.671389
tt2120120,Pixels,2015,5 wins & 9 nominations total,"$78,747,585",5.6,27,"172,697",True,,2025-10-29T13:48:08.096056
tt2126355,San Andreas,2015,2 wins & 10 nominations total,"$155,190,832",6.1,43,"271,110",True,,2025-10-29T13:48:08.521746
tt2126357,Second Act,2018,2 wins & 1 nomination total,"$39,282,227",5.8,46,"31,529",True,,2025-10-29T13:48:08.945318
tt2139881,Long Shot,2019,5 wins & 13 nominations total,"$30,316,271",6.8,67,"126,759",True,,2025-10-29T13:48:09.367404
tt2140373,Saving Mr. Banks,2013,Nominated for 1 Oscar. 13 wins & 74 nominations total,"$83,301,580",7.5,65,"174,077",True,,2025-10-29T13:48:09.791292
tt2140379,Self/less,2015,N/A,"$12,279,691",6.5,34,"106,052",True,,2025-10-29T13:48:10.225233
tt2140479,The Accountant,2016,3 wins & 5 nominations total,"$86,260,045",7.3,51,"384,492",True,,2025-10-29T13:48:10.650623
tt2167202,Getaway,2013,2 nominations total,"$10,501,938",4.4,22,"25,707",True,,2025-10-29T13:48:11.262044
tt2170439,Horrible Bosses 2,2014,1 win & 6 nominations total,"$54,445,357",6.3,40,"191,215",True,,2025-10-29T13:48:11.688340
tt2172934,3 Days to Kill,2014,N/A,"$30,697,999",6.2,40,"100,415",True,,2025-10-29T13:48:12.125118
tt2172935,Metallica Through the Never,2013,1 win & 3 nominations total,"$3,419,967",7.1,61,"18,585",True,,2025-10-29T13:48:12.547307
tt2177771,The Monuments Men,2014,3 wins & 3 nominations total,"$78,031,620",6.1,52,"146,728",True,,2025-10-29T13:48:12.974719
tt2179136,American Sniper,2014,Won 1 Oscar. 24 wins & 43 nominations total,"$350,159,020",7.3,73,"556,779",True,,2025-10-29T13:48:13.397025
tt2180411,Into the Woods,2014,Nominated for 3 Oscars. 11 wins & 75 nominations total,"$128,002,372",5.9,69,"152,185",True,,2025-10-29T13:48:13.823625
tt2183034,Earth to Echo,2014,2 wins & 1 nomination total,"$38,934,842",5.7,53,"20,231",True,,2025-10-29T13:48:14.252979
tt2184339,The Purge,2013,2 wins & 6 nominations total,"$64,473,115",5.8,41,"255,029",True,,2025-10-29T13:48:14.680839
tt2191701,Grown Ups 2,2013,5 wins & 15 nominations total,"$133,668,525",5.4,19,"185,515",True,,2025-10-29T13:48:15.105000
tt2193215,The Counselor,2013,5 wins & 3 nominations total,"$16,973,715",5.4,48,"108,778",True,,2025-10-29T13:48:15.528120
tt2199571,Run All Night,2015,N/A,"$26,461,644",6.6,59,"118,524",True,,2025-10-29T13:48:15.954471
tt2203939,The Other Woman,2014,3 wins & 5 nominations total,"$83,911,193",6.0,39,"157,469",True,,2025-10-29T13:48:16.387823
tt2206498,In Over My Head,2012,N/A,"$19,482",5.1,N/A,41,True,,2025-10-29T13:48:16.812880
tt2209764,Transcendence,2014,3 wins & 5 nominations total,"$23,022,309",6.2,42,"244,737",True,,2025-10-29T13:48:17.238423
tt2215285,Madea's Witness Protection,2012,1 win & 5 nominations total,"$65,653,242",5.0,42,"11,727",True,,2025-10-29T13:48:17.670119
tt2215719,Katy Perry: Part of Me,2012,1 win total,"$25,326,071",6.0,57,"13,980",True,,2025-10-29T13:48:18.106483
tt2224026,Home,2015,3 wins & 10 nominations total,"$177,397,510",6.5,55,"118,719",True,,2025-10-29T13:48:18.531404
tt2226417,Insidious: Chapter 2,2013,16 nominations total,"$83,586,447",6.6,40,"198,038",True,,2025-10-29T13:48:18.954949
tt2226597,The Mountain Between Us,2017,2 wins & 1 nomination total,"$30,348,555",6.4,48,"87,013",True,,2025-10-29T13:48:19.380315
tt2229499,Don Jon,2013,2 wins & 28 nominations total,"$24,477,704",6.5,66,"253,256",True,,2025-10-29T13:48:19.803923
tt2231461,Rampage,2018,7 nominations total,"$101,028,233",6.1,45,"197,675",True,,2025-10-29T13:48:20.227986
tt2234155,The Internship,2013,2 nominations total,"$44,672,764",6.3,42,"222,971",True,,2025-10-29T13:48:20.650769
tt2239822,Valerian and the City of a Thousand Planets,2017,11 nominations total,"$41,189,488",6.4,51,"206,328",True,,2025-10-29T13:48:21.074287
tt2239832,Think Like a Man Too,2014,2 wins & 4 nominations total,"$65,182,182",5.7,38,"23,826",True,,2025-10-29T13:48:21.500188
tt2241351,Money Monster,2016,2 nominations total,"$41,012,075",6.5,55,"110,480",True,,2025-10-29T13:48:21.923417
tt2243537,A Haunted House,2013,1 win & 1 nomination total,"$40,041,683",5.1,20,"52,749",True,,2025-10-29T13:48:22.352474
tt2245084,Big Hero 6,2014,Won 1 Oscar. 17 wins & 58 nominations total,"$222,527,828",7.8,74,"539,795",True,,2025-10-29T13:48:22.777042
tt2247476,When the Game Stands Tall,2014,1 nomination total,"$30,127,963",6.6,41,"17,366",True,,2025-10-29T13:48:23.200411
tt2250912,Spider-Man: Homecoming,2017,8 wins & 11 nominations total,"$334,952,829",7.4,73,"774,283",True,,2025-10-29T13:48:23.642030
