imdb_id,omdb_title,omdb_year,awards_text,omdb_boxoffice,omdb_imdb_rating,omdb_metascore,omdb_imdb_votes,response_ok,error_msg,fetched_at
tt0261392,Jay and Silent Bob Strike Back,2001,1 win & 3 nominations total,"$30,085,147",6.8,51,"165,040",True,,2025-10-27T14:10:08.046688
tt0262396,Empire,2002,2 nominations total,"$17,600,423",5.9,38,"8,062",True,,2025-10-27T14:10:08.482560
tt0262911,World Traveler,2001,N/A,"$103,863",5.3,39,"1,270",True,,2025-10-27T14:10:08.888728
tt0263265,Shortcut to Happiness,2003,N/A,N/A,5.4,N/A,"6,527",True,,2025-10-27T14:10:09.297832
tt0263488,Jeepers Creepers,2001,5 wins & 7 nominations total,"$37,904,175",6.2,49,"154,046",True,,2025-10-27T14:10:09.724275
tt0263728,Megiddo: The Omega Code 2,2001,1 nomination total,"$6,047,691",4.0,35,"3,026",True,,2025-10-27T14:10:10.146288
tt0263757,Uptown Girls,2003,2 nominations total,"$37,182,494",6.3,33,"49,036",True,,2025-10-27T14:10:10.559811
tt0264464,Catch Me If You Can,2002,Nominated for 2 Oscars. 16 wins & 46 nominations total,"$164,615,351",8.1,75,"1,192,034",True,,2025-10-27T14:10:10.967974
tt0264472,Changing Lanes,2002,7 nominations total,"$66,818,548",6.5,69,"76,898",True,,2025-10-27T14:10:11.376873
tt0264616,Frailty,2001,5 wins & 16 nominations total,"$13,110,448",7.2,64,"96,989",True,,2025-10-27T14:10:11.795820
tt0264761,Kissing Jessica Stein,2001,8 wins & 3 nominations total,"$7,025,722",6.5,72,"17,879",True,,2025-10-27T14:10:12.205296
tt0264796,Life as a House,2001,2 wins & 9 nominations total,"$15,667,270",7.4,45,"46,607",True,,2025-10-27T14:10:12.617183
tt0264935,Murder by Numbers,2002,2 nominations total,"$31,945,749",6.2,50,"64,491",True,,2025-10-27T14:10:13.025161
tt0265029,America's Sweethearts,2001,1 win & 2 nominations total,"$93,607,673",5.7,44,"61,667",True,,2025-10-27T14:10:13.435069
tt0265086,Black Hawk Down,2001,Won 2 Oscars. 11 wins & 37 nominations total,"$108,638,745",7.7,74,"445,934",True,,2025-10-27T14:10:13.849904
tt0265087,Black Knight,2001,2 nominations total,"$33,426,971",4.9,32,"45,049",True,,2025-10-27T14:10:14.257572
tt0265298,Big Fat Liar,2002,1 win & 3 nominations total,"$48,360,547",5.5,36,"41,927",True,,2025-10-27T14:10:14.673447
tt0265349,The Mothman Prophecies,2002,1 win & 2 nominations total,"$35,746,370",6.4,52,"87,734",True,,2025-10-27T14:10:15.081082
tt0265459,One Hour Photo,2002,6 wins & 22 nominations total,"$31,597,131",6.8,64,"134,447",True,,2025-10-27T14:10:15.490775
tt0265632,Recess: School's Out,2001,N/A,"$36,706,141",6.5,43,"12,268",True,,2025-10-27T14:10:15.903934
tt0265662,The Rookie,2002,5 wins & 4 nominations total,"$75,600,072",6.9,72,"38,553",True,,2025-10-27T14:10:16.310913
tt0265666,The Royal Tenenbaums,2001,Nominated for 1 Oscar. 11 wins & 46 nominations total,"$52,364,010",7.6,76,"326,957",True,,2025-10-27T14:10:16.717440
tt0266452,Death to Smoochy,2002,2 nominations total,"$8,364,691",6.3,38,"43,676",True,,2025-10-27T14:10:17.123809
tt0266465,A Man Apart,2003,1 nomination total,"$26,736,098",6.0,36,"50,645",True,,2025-10-27T14:10:17.530506
tt0266489,Duplex,2003,2 nominations total,"$9,692,135",5.9,50,"64,605",True,,2025-10-27T14:10:17.936366
